TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.56,1,0,0,None,
9.98,1,1,0,HelpHint,
10.00,2,1,0,None,
14.04,3,1,0,None,
14.99,3,1,1,SpawnMore,
19.99,3,2,1,HelpHint,
20.00,4,2,1,None,
25.88,5,2,1,None,
29.99,5,2,2,SpawnMore,
30.01,6,2,2,None,
32.44,7,2,2,None,
39.99,7,3,2,HelpHint,
40.01,8,3,2,None,
44.99,8,3,3,SpawnMore,
48.98,9,3,3,None,
50.01,10,3,3,None,
54.32,11,3,3,None,
60.00,11,4,3,HelpHint,
60.01,12,4,3,None,
65.00,12,4,4,SpawnMore,
67.36,13,4,4,None,
70.01,14,4,4,None,
80.01,14,5,4,HelpHint,
80.01,15,5,4,None,
85.01,15,5,5,SpawnMore,
90.01,15,6,5,HelpHint,
90.01,16,6,5,None,
95.32,17,6,5,None,
100.01,18,6,5,None,
100.02,18,6,5,Final,0
