TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.98,0,1,0,HelpHint,
5.73,1,1,0,None,
5.78,2,1,0,None,
10.44,3,1,0,None,
12.68,4,1,0,None,
14.98,4,1,1,SpawnMore,
15.25,4,2,1,HelpHint,
15.25,5,2,1,None,
19.88,6,2,1,None,
24.98,6,3,1,HelpHint,
25.13,7,3,1,None,
26.34,8,3,1,None,
29.50,8,3,2,SpawnMore,
29.50,9,3,2,None,
29.99,9,3,3,SpawnMore,
33.94,10,3,3,None,
34.47,10,4,3,HelpHint,
34.47,11,4,3,None,
37.20,12,4,3,None,
40.30,13,4,3,None,
44.32,13,5,3,HelpHint,
44.32,14,5,3,None,
44.99,14,5,4,SpawnMore,
45.94,15,5,4,None,
50.29,16,5,4,None,
54.28,17,5,4,None,
54.99,17,5,4,Final,0
