TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.58,1,0,0,None,
5.51,1,0,1,SpawnMore,
5.51,2,0,1,None,
9.54,3,0,1,None,
11.16,4,0,1,None,
12.94,5,0,1,None,
14.99,5,0,2,SpawnMore,
15.83,5,1,2,HelpHint,
15.83,6,1,2,None,
20.10,7,1,2,None,
20.36,7,1,3,SpawnMore,
20.36,8,1,3,None,
24.80,9,1,3,None,
25.42,10,1,3,None,
29.21,11,1,3,None,
29.99,11,1,4,SpawnMore,
33.44,11,2,4,HelpHint,
33.44,12,2,4,None,
39.01,13,2,4,None,
43.46,14,2,4,None,
43.48,15,2,4,None,
45.00,15,2,5,SpawnMore,
48.58,15,3,5,HelpHint,
48.58,16,3,5,None,
54.38,16,4,5,HelpHint,
54.38,16,4,6,SpawnMore,
54.38,17,4,6,None,
54.40,18,4,6,None,
58.93,19,4,6,None,
60.00,19,4,7,SpawnMore,
64.30,20,4,7,None,
70.00,20,5,7,HelpHint,
70.28,21,5,7,None,
74.68,22,5,7,None,
75.01,22,5,8,SpawnMore,
78.84,23,5,8,None,
83.11,24,5,8,None,
87.90,25,5,8,None,
90.01,25,5,9,SpawnMore,
92.84,26,5,9,None,
98.08,26,6,9,HelpHint,
98.08,27,6,9,None,
102.55,27,6,10,SpawnMore,
102.55,28,6,10,None,
104.40,29,6,10,None,
105.01,29,6,11,SpawnMore,
105.02,30,6,11,None,
108.51,30,7,11,HelpHint,
108.51,31,7,11,None,
113.55,32,7,11,None,
115.86,33,7,11,None,
118.91,34,7,11,None,
120.02,34,7,12,SpawnMore,
121.80,35,7,12,None,
124.68,35,8,12,HelpHint,
124.68,36,8,12,None,
128.54,37,8,12,None,
129.68,38,8,12,None,
130.02,38,8,12,Final,0
