TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.64,1,0,0,None,
9.99,1,1,0,HelpHint,
10.00,2,1,0,None,
12.28,3,1,0,None,
14.99,3,1,1,SpawnMore,
19.99,3,2,1,HelpHint,
20.01,4,2,1,None,
25.88,5,2,1,None,
29.99,5,2,2,SpawnMore,
30.01,6,2,2,None,
37.12,7,2,2,None,
40.01,8,2,2,None,
42.68,9,2,2,None,
44.99,9,2,3,SpawnMore,
49.99,9,3,3,HelpHint,
50.01,10,3,3,None,
52.68,11,3,3,None,
60.00,11,4,3,HelpHint,
60.01,12,4,3,None,
65.00,12,4,4,SpawnMore,
69.14,13,4,4,None,
70.00,13,4,4,Final,0
