TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.98,0,1,0,HelpHint,
5.78,1,1,0,None,
10.00,2,1,0,None,
12.24,3,1,0,None,
14.98,3,1,1,SpawnMore,
19.99,3,2,1,HelpHint,
20.00,4,2,1,None,
24.06,5,2,1,None,
29.99,5,3,1,HelpHint,
30.01,6,3,1,None,
34.48,7,3,1,None,
34.99,7,3,2,SpawnMore,
39.99,7,4,2,HelpHint,
40.01,8,4,2,None,
42.44,9,4,2,None,
49.99,9,5,2,HelpHint,
50.01,10,5,2,None,
54.99,10,5,3,SpawnMore,
55.68,11,5,3,None,
60.01,12,5,3,None,
70.00,12,6,3,HelpHint,
70.01,13,6,3,None,
71.84,14,6,3,None,
75.00,14,6,3,Final,0
