TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.98,0,1,0,HelpHint,
8.58,1,1,0,None,
10.00,2,1,0,None,
14.99,2,1,1,SpawnMore,
15.06,3,1,1,None,
20.00,4,1,1,None,
22.30,5,1,1,None,
29.99,5,2,1,HelpHint,
30.00,6,2,1,None,
33.84,7,2,1,None,
34.99,7,2,2,SpawnMore,
40.00,7,3,2,HelpHint,
40.00,8,3,2,None,
49.52,9,3,2,None,
50.00,9,3,3,SpawnMore,
50.01,10,3,3,None,
60.00,10,4,3,HelpHint,
60.01,11,4,3,None,
65.00,11,4,4,SpawnMore,
69.30,12,4,4,None,
70.01,13,4,4,None,
72.68,14,4,4,None,
80.01,14,5,4,HelpHint,
80.01,15,5,4,None,
85.01,15,5,5,SpawnMore,
86.10,16,5,5,None,
90.01,17,5,5,None,
90.02,17,5,5,Final,0
