TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.17,1,0,0,None,
5.78,2,0,0,None,
8.49,2,1,0,HelpHint,
8.49,3,1,0,None,
10.72,4,1,0,None,
14.24,5,1,0,None,
14.99,5,1,1,SpawnMore,
19.99,5,2,1,HelpHint,
20.00,5,3,1,HelpHint,
20.00,6,3,1,None,
20.74,7,3,1,None,
24.97,7,4,1,HelpHint,
24.97,7,4,2,SpawnMore,
24.97,8,4,2,None,
29.37,8,4,3,SpawnMore,
29.37,9,4,3,None,
30.00,9,4,4,SpawnMore,
32.08,10,4,4,None,
34.73,10,4,5,SpawnMore,
34.73,11,4,5,None,
37.40,12,4,5,None,
39.36,12,5,5,HelpHint,
39.36,13,5,5,None,
40.38,14,5,5,None,
45.00,14,5,6,SpawnMore,
45.15,14,6,6,HelpHint,
45.15,15,6,6,None,
51.10,16,6,6,None,
52.76,17,6,6,None,
55.16,18,6,6,None,
60.01,18,6,7,SpawnMore,
60.99,18,7,7,HelpHint,
60.99,19,7,7,None,
62.52,20,7,7,None,
65.62,20,7,8,SpawnMore,
65.62,21,7,8,None,
70.56,21,7,9,SpawnMore,
70.56,22,7,9,None,
75.01,22,7,10,SpawnMore,
75.52,23,7,10,None,
79.65,24,7,10,None,
85.02,24,8,10,HelpHint,
85.09,25,8,10,None,
87.82,26,8,10,None,
89.25,27,8,10,None,
90.02,27,8,11,SpawnMore,
93.88,27,9,11,HelpHint,
93.88,28,9,11,None,
99.73,28,10,11,HelpHint,
99.73,29,10,11,None,
104.84,29,11,11,HelpHint,
104.84,30,11,11,None,
105.02,30,11,12,SpawnMore,
107.86,31,11,12,None,
109.06,32,11,12,None,
114.94,32,12,12,HelpHint,
114.94,33,12,12,None,
116.42,34,12,12,None,
120.03,34,12,13,SpawnMore,
120.55,34,13,13,HelpHint,
120.55,34,13,14,SpawnMore,
120.55,35,13,14,None,
124.81,35,14,14,HelpHint,
124.81,36,14,14,None,
128.16,37,14,14,None,
128.98,38,14,14,None,
134.56,38,15,14,HelpHint,
134.56,38,15,15,SpawnMore,
134.56,39,15,15,None,
134.62,40,15,15,None,
135.03,40,15,16,SpawnMore,
139.70,41,15,16,None,
144.25,42,15,16,None,
145.34,43,15,16,None,
149.56,43,15,17,SpawnMore,
149.56,44,15,17,None,
150.04,44,15,18,SpawnMore,
155.04,44,16,18,HelpHint,
155.21,44,16,19,SpawnMore,
155.21,45,16,19,None,
157.16,46,16,19,None,
160.61,47,16,19,None,
165.04,47,16,20,SpawnMore,
166.38,48,16,20,None,
167.96,49,16,20,None,
170.04,49,16,20,Final,0
