TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.56,1,0,0,None,
9.98,1,1,0,HelpHint,
10.00,2,1,0,None,
14.50,3,1,0,None,
14.98,3,1,1,SpawnMore,
19.99,3,2,1,HelpHint,
20.01,4,2,1,None,
26.84,5,2,1,None,
29.99,5,2,2,SpawnMore,
30.01,6,2,2,None,
35.32,7,2,2,None,
40.01,8,2,2,None,
42.86,9,2,2,None,
45.00,9,2,3,SpawnMore,
50.00,9,3,3,HelpHint,
50.01,10,3,3,None,
54.98,11,3,3,None,
60.00,11,4,3,HelpHint,
60.01,12,4,3,None,
65.00,12,4,4,SpawnMore,
65.66,13,4,4,None,
70.01,14,4,4,None,
75.64,15,4,4,None,
80.01,15,4,4,Final,0
