TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.98,0,1,0,HelpHint,
5.78,1,1,0,None,
10.00,2,1,0,None,
14.99,2,1,1,SpawnMore,
19.99,2,2,1,HelpHint,
20.00,3,2,1,None,
23.64,4,2,1,None,
29.99,4,3,1,HelpHint,
30.01,5,3,1,None,
34.46,6,3,1,None,
34.99,6,3,2,SpawnMore,
39.99,6,4,2,HelpHint,
40.01,7,4,2,None,
42.70,8,4,2,None,
50.00,8,5,2,HelpHint,
50.01,9,5,2,None,
55.00,9,5,3,SpawnMore,
55.88,10,5,3,None,
60.01,11,5,3,None,
65.34,12,5,3,None,
70.00,12,5,4,SpawnMore,
70.02,13,5,4,None,
80.00,13,6,4,HelpHint,
80.02,14,6,4,None,
85.01,14,6,5,SpawnMore,
90.01,14,7,5,HelpHint,
90.02,15,7,5,None,
100.01,15,8,5,HelpHint,
100.02,16,8,5,None,
100.64,17,8,5,None,
105.01,17,8,6,SpawnMore,
110.01,17,9,6,HelpHint,
110.02,18,9,6,None,
115.68,19,9,6,None,
120.02,19,9,7,SpawnMore,
120.02,20,9,7,None,
120.03,21,9,7,None,
130.02,21,10,7,HelpHint,
130.03,22,10,7,None,
134.02,23,10,7,None,
135.02,23,10,7,Final,0
