TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.47,1,0,0,None,
5.78,2,0,0,None,
9.32,2,1,0,HelpHint,
9.32,2,1,1,SpawnMore,
9.32,3,1,1,None,
13.38,4,1,1,None,
14.24,5,1,1,None,
14.98,5,1,2,SpawnMore,
18.86,5,1,3,SpawnMore,
18.86,6,1,3,None,
24.80,6,2,3,HelpHint,
24.80,6,2,4,SpawnMore,
24.80,7,2,4,None,
27.24,8,2,4,None,
29.40,9,2,4,None,
29.99,9,2,5,SpawnMore,
31.18,10,2,5,None,
34.47,10,3,5,HelpHint,
34.47,11,3,5,None,
36.78,12,3,5,None,
40.00,13,3,5,None,
44.31,14,3,5,None,
45.00,14,3,6,SpawnMore,
49.72,15,3,6,None,
54.86,15,3,7,SpawnMore,
54.86,16,3,7,None,
59.68,17,3,7,None,
60.00,17,3,8,SpawnMore,
60.61,18,3,8,None,
63.28,19,3,8,None,
65.57,19,4,8,HelpHint,
65.57,20,4,8,None,
68.32,21,4,8,None,
69.59,22,4,8,None,
74.12,22,4,9,SpawnMore,
74.12,23,4,9,None,
75.01,23,4,10,SpawnMore,
77.20,24,4,10,None,
79.41,25,4,10,None,
83.55,25,5,10,HelpHint,
83.55,25,5,11,SpawnMore,
83.55,26,5,11,None,
87.10,27,5,11,None,
88.01,28,5,11,None,
89.36,29,5,11,None,
90.01,29,5,12,SpawnMore,
92.12,30,5,12,None,
96.10,31,5,12,None,
97.81,31,6,12,HelpHint,
97.81,32,6,12,None,
102.50,32,7,12,HelpHint,
102.50,33,7,12,None,
103.48,34,7,12,None,
105.02,34,7,12,Final,0
