TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.64,1,0,0,None,
9.98,1,1,0,HelpHint,
10.00,2,1,0,None,
12.28,3,1,0,None,
14.98,3,1,1,SpawnMore,
19.98,3,2,1,HelpHint,
20.00,4,2,1,None,
25.20,5,2,1,None,
29.99,5,2,2,SpawnMore,
30.00,6,2,2,None,
37.12,7,2,2,None,
40.01,8,2,2,None,
44.99,8,2,3,SpawnMore,
49.99,8,3,3,HelpHint,
50.01,9,3,3,None,
52.98,10,3,3,None,
60.00,10,4,3,HelpHint,
60.01,11,4,3,None,
65.00,11,4,4,SpawnMore,
67.40,12,4,4,None,
70.01,13,4,4,None,
77.36,14,4,4,None,
80.01,14,4,5,SpawnMore,
80.01,15,4,5,None,
85.28,16,4,5,None,
90.02,17,4,5,None,
92.72,18,4,5,None,
95.03,18,4,5,Final,0
