TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.98,0,1,0,HelpHint,
5.78,1,1,0,None,
10.00,2,1,0,None,
12.24,3,1,0,None,
14.98,3,1,1,SpawnMore,
19.99,3,2,1,HelpHint,
20.01,4,2,1,None,
25.64,5,2,1,None,
29.99,5,2,2,SpawnMore,
30.01,6,2,2,None,
34.46,7,2,2,None,
39.99,7,3,2,HelpHint,
40.01,8,3,2,None,
42.74,9,3,2,None,
44.99,9,3,3,SpawnMore,
49.99,9,4,3,HelpHint,
50.01,10,4,3,None,
55.64,11,4,3,None,
60.00,11,4,4,SpawnMore,
60.02,12,4,4,None,
64.02,13,4,4,None,
65.00,13,4,4,Final,0
