TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.71,0,0,1,SpawnMore,
4.71,1,0,1,None,
8.64,2,0,1,None,
9.97,3,0,1,None,
14.42,4,0,1,None,
14.77,5,0,1,None,
14.99,5,0,2,SpawnMore,
19.99,5,1,2,HelpHint,
20.38,5,2,2,HelpHint,
20.38,5,2,3,SpawnMore,
20.38,6,2,3,None,
23.84,7,2,3,None,
26.35,7,3,3,HelpHint,
26.35,8,3,3,None,
29.99,8,3,4,SpawnMore,
31.26,9,3,4,None,
31.69,10,3,4,None,
36.09,11,3,4,None,
39.88,12,3,4,None,
40.45,13,3,4,None,
42.22,14,3,4,None,
45.00,14,3,5,SpawnMore,
45.49,15,3,5,None,
50.62,16,3,5,None,
50.69,16,4,5,HelpHint,
50.69,17,4,5,None,
55.18,18,4,5,None,
59.50,19,4,5,None,
60.00,19,4,6,SpawnMore,
62.34,20,4,6,None,
65.46,20,5,6,HelpHint,
65.46,21,5,6,None,
69.46,22,5,6,None,
70.01,22,5,6,Final,0
