TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.56,1,0,0,None,
9.98,1,1,0,HelpHint,
10.00,2,1,0,None,
14.04,3,1,0,None,
14.98,3,1,1,SpawnMore,
19.99,3,2,1,HelpHint,
20.00,4,2,1,None,
22.26,5,2,1,None,
29.99,5,3,1,HelpHint,
30.01,6,3,1,None,
34.94,7,3,1,None,
34.99,7,3,2,SpawnMore,
39.99,7,4,2,HelpHint,
40.01,8,4,2,None,
45.66,9,4,2,None,
49.99,9,4,3,SpawnMore,
50.01,10,4,3,None,
57.62,11,4,3,None,
60.01,12,4,3,None,
65.00,12,4,4,SpawnMore,
70.00,12,5,4,HelpHint,
70.01,13,5,4,None,
80.00,13,6,4,HelpHint,
80.02,14,6,4,None,
85.01,14,6,5,SpawnMore,
90.01,14,7,5,HelpHint,
90.02,15,7,5,None,
95.50,16,7,5,None,
100.02,16,7,6,SpawnMore,
100.02,17,7,6,None,
107.12,18,7,6,None,
110.03,19,7,6,None,
115.02,19,7,7,SpawnMore,
120.03,19,8,7,HelpHint,
120.03,20,8,7,None,
123.22,21,8,7,None,
130.03,21,9,7,HelpHint,
130.03,22,9,7,None,
135.03,22,9,8,SpawnMore,
140.03,23,9,8,None,
145.04,23,10,8,HelpHint,
149.96,24,10,8,None,
150.03,25,10,8,None,
150.04,25,10,9,SpawnMore,
155.04,25,11,9,HelpHint,
160.03,26,11,9,None,
165.04,26,12,9,HelpHint,
170.03,27,12,9,None,
170.04,27,12,10,SpawnMore,
175.05,27,13,10,HelpHint,
178.64,28,13,10,None,
180.04,29,13,10,None,
184.02,30,13,10,None,
185.05,30,13,10,Final,0
