TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.56,1,0,0,None,
5.55,1,1,0,HelpHint,
5.55,2,1,0,None,
9.58,3,1,0,None,
10.96,4,1,0,None,
13.20,5,1,0,None,
14.99,5,1,1,SpawnMore,
15.73,6,1,1,None,
20.47,6,1,2,SpawnMore,
20.47,7,1,2,None,
20.66,8,1,2,None,
26.36,9,1,2,None,
29.99,9,1,3,SpawnMore,
31.31,10,1,3,None,
33.46,11,1,3,None,
36.79,11,1,4,SpawnMore,
36.79,12,1,4,None,
38.14,13,1,4,None,
42.48,13,2,4,HelpHint,
42.48,13,2,5,SpawnMore,
42.48,14,2,5,None,
45.00,14,2,6,SpawnMore,
47.78,15,2,6,None,
52.46,16,2,6,None,
52.55,17,2,6,None,
57.68,17,2,7,SpawnMore,
57.68,18,2,7,None,
60.00,18,2,8,SpawnMore,
61.86,19,2,8,None,
63.32,20,2,8,None,
65.95,21,2,8,None,
70.67,22,2,8,None,
73.54,23,2,8,None,
74.76,23,3,8,HelpHint,
74.76,23,3,9,SpawnMore,
74.76,24,3,9,None,
75.01,24,3,10,SpawnMore,
78.99,25,3,10,None,
84.20,26,3,10,None,
84.88,26,3,11,SpawnMore,
84.88,27,3,11,None,
89.69,27,4,11,HelpHint,
89.69,28,4,11,None,
90.02,28,4,12,SpawnMore,
94.96,28,5,12,HelpHint,
94.96,28,5,13,SpawnMore,
94.96,29,5,13,None,
98.99,29,6,13,HelpHint,
98.99,30,6,13,None,
101.60,31,6,13,None,
103.82,31,6,14,SpawnMore,
103.82,32,6,14,None,
105.02,32,6,15,SpawnMore,
109.36,33,6,15,None,
112.36,34,6,15,None,
113.85,35,6,15,None,
115.03,35,6,15,Final,0
