TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.56,1,0,0,None,
9.98,1,1,0,HelpHint,
10.00,2,1,0,None,
14.04,3,1,0,None,
14.99,3,1,1,SpawnMore,
19.99,3,2,1,HelpHint,
20.00,4,2,1,None,
29.92,5,2,1,None,
29.99,5,2,2,SpawnMore,
30.00,6,2,2,None,
39.99,6,3,2,HelpHint,
40.00,7,3,2,None,
44.24,8,3,2,None,
45.00,8,3,3,SpawnMore,
50.00,8,4,3,HelpHint,
50.01,9,4,3,None,
54.34,10,4,3,None,
60.01,10,5,3,HelpHint,
60.01,11,5,3,None,
64.74,12,5,3,None,
65.01,12,5,4,SpawnMore,
70.01,13,5,4,None,
75.02,13,6,4,HelpHint,
77.64,14,6,4,None,
80.01,15,6,4,None,
80.02,15,6,4,Final,0
