TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.98,0,1,0,HelpHint,
9.98,0,2,0,HelpHint,
10.68,1,2,0,None,
14.99,1,2,1,SpawnMore,
16.38,2,2,1,None,
22.56,3,2,1,None,
29.99,3,3,1,HelpHint,
34.70,4,3,1,None,
35.00,4,3,2,SpawnMore,
40.00,4,4,2,HelpHint,
44.06,5,4,2,None,
46.86,6,4,2,None,
50.00,6,4,2,Final,0
