TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.53,1,0,0,None,
8.58,2,0,0,None,
10.23,3,0,0,None,
14.68,4,0,0,None,
14.98,4,0,1,SpawnMore,
16.01,4,0,2,SpawnMore,
16.01,5,0,2,None,
19.48,6,0,2,None,
20.03,7,0,2,None,
22.28,8,0,2,None,
25.31,9,0,2,None,
29.99,9,0,3,SpawnMore,
30.54,9,1,3,HelpHint,
30.54,9,1,4,SpawnMore,
30.54,10,1,4,None,
31.20,11,1,4,None,
35.09,12,1,4,None,
39.08,13,1,4,None,
39.61,14,1,4,None,
44.04,15,1,4,None,
44.99,15,1,5,SpawnMore,
46.98,16,1,5,None,
49.69,17,1,5,None,
49.99,17,1,5,Final,1
