TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.64,1,0,0,None,
5.65,1,1,0,HelpHint,
5.65,1,1,1,SpawnMore,
5.65,2,1,1,None,
9.67,3,1,1,None,
13.34,4,1,1,None,
14.19,4,1,2,SpawnMore,
14.19,5,1,2,None,
14.98,5,1,3,SpawnMore,
16.62,6,1,3,None,
18.69,7,1,3,None,
21.42,8,1,3,None,
22.89,9,1,3,None,
25.62,10,1,3,None,
27.05,11,1,3,None,
29.99,11,1,4,SpawnMore,
31.12,12,1,4,None,
35.28,12,2,4,HelpHint,
35.28,13,2,4,None,
37.92,14,2,4,None,
41.24,15,2,4,None,
44.99,15,2,5,SpawnMore,
45.55,16,2,5,None,
47.36,17,2,5,None,
49.74,18,2,5,None,
50.02,19,2,5,None,
54.06,19,3,5,HelpHint,
54.06,19,3,6,SpawnMore,
54.06,20,3,6,None,
54.64,21,3,6,None,
59.47,21,3,7,SpawnMore,
59.47,22,3,7,None,
60.00,22,3,8,SpawnMore,
64.57,23,3,8,None,
69.40,23,4,8,HelpHint,
69.40,24,4,8,None,
69.62,25,4,8,None,
73.56,26,4,8,None,
75.00,26,4,9,SpawnMore,
76.06,27,4,9,None,
78.40,28,4,9,None,
83.44,28,5,9,HelpHint,
83.44,29,5,9,None,
84.56,30,5,9,None,
88.98,31,5,9,None,
90.01,31,5,9,Final,0
