TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.64,1,0,0,None,
4.98,2,0,0,None,
7.26,3,0,0,None,
9.72,4,0,0,None,
14.44,5,0,0,None,
14.99,5,0,1,SpawnMore,
19.87,6,0,1,None,
24.99,6,1,1,HelpHint,
25.51,7,1,1,None,
27.30,8,1,1,None,
29.99,8,1,2,SpawnMore,
30.67,8,2,2,HelpHint,
30.67,9,2,2,None,
35.12,10,2,2,None,
36.16,11,2,2,None,
40.48,11,2,3,SpawnMore,
40.48,12,2,3,None,
42.04,13,2,3,None,
44.62,14,2,3,None,
45.00,14,2,4,SpawnMore,
48.88,15,2,4,None,
51.98,16,2,4,None,
54.47,17,2,4,None,
58.48,18,2,4,None,
58.92,19,2,4,None,
60.01,19,2,4,Final,1
