TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.98,0,1,0,HelpHint,
5.19,1,1,0,None,
8.58,2,1,0,None,
10.70,3,1,0,None,
14.92,4,1,0,None,
14.99,4,1,1,SpawnMore,
16.34,5,1,1,None,
21.05,6,1,1,None,
21.32,7,1,1,None,
25.08,7,2,1,HelpHint,
25.08,7,2,2,SpawnMore,
25.08,8,2,2,None,
27.76,9,2,2,None,
29.53,10,2,2,None,
29.99,10,2,3,SpawnMore,
30.72,11,2,3,None,
35.05,12,2,3,None,
40.70,13,2,3,None,
40.78,14,2,3,None,
45.00,14,2,4,SpawnMore,
45.00,15,2,4,None,
46.48,16,2,4,None,
50.30,17,2,4,None,
52.38,18,2,4,None,
55.00,18,2,4,Final,1
