TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.64,1,0,0,None,
5.27,2,0,0,None,
11.02,3,0,0,None,
14.02,4,0,0,None,
14.98,4,0,1,SpawnMore,
15.06,5,0,1,None,
19.52,6,0,1,None,
19.64,6,1,1,HelpHint,
19.64,6,1,2,SpawnMore,
19.64,7,1,2,None,
24.99,7,2,2,HelpHint,
25.60,8,2,2,None,
29.99,8,2,3,SpawnMore,
30.83,8,3,3,HelpHint,
30.83,8,3,4,SpawnMore,
30.83,9,3,4,None,
31.62,10,3,4,None,
36.47,11,3,4,None,
40.44,12,3,4,None,
40.90,13,3,4,None,
44.99,13,3,5,SpawnMore,
45.19,14,3,5,None,
48.52,15,3,5,None,
49.84,15,3,6,SpawnMore,
49.84,16,3,6,None,
49.84,17,3,6,None,
54.08,18,3,6,None,
56.02,19,3,6,None,
59.39,19,4,6,HelpHint,
59.39,19,4,7,SpawnMore,
59.39,20,4,7,None,
60.00,20,4,8,SpawnMore,
64.32,21,4,8,None,
64.85,22,4,8,None,
67.78,23,4,8,None,
69.34,23,5,8,HelpHint,
69.34,23,5,9,SpawnMore,
69.34,24,5,9,None,
73.40,25,5,9,None,
75.01,25,5,10,SpawnMore,
77.64,26,5,10,None,
82.72,27,5,10,None,
83.43,28,5,10,None,
85.01,28,5,10,Final,0
