TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.05,1,0,0,None,
5.78,2,0,0,None,
9.29,3,0,0,None,
12.78,4,0,0,None,
14.18,4,1,0,HelpHint,
14.18,5,1,0,None,
14.98,5,1,1,SpawnMore,
18.20,6,1,1,None,
19.94,6,2,1,HelpHint,
19.94,7,2,1,None,
24.99,7,3,1,HelpHint,
25.46,7,4,1,HelpHint,
25.46,8,4,1,None,
29.99,8,4,2,SpawnMore,
31.44,8,5,2,HelpHint,
31.44,8,5,3,SpawnMore,
31.44,9,5,3,None,
36.84,10,5,3,None,
37.22,11,5,3,None,
42.65,11,6,3,HelpHint,
42.65,12,6,3,None,
44.99,12,6,4,SpawnMore,
47.80,13,6,4,None,
49.76,14,6,4,None,
53.06,15,6,4,None,
58.70,16,6,4,None,
58.83,16,7,4,HelpHint,
58.83,17,7,4,None,
60.00,17,7,5,SpawnMore,
64.54,17,8,5,HelpHint,
64.54,18,8,5,None,
68.54,19,8,5,None,
69.29,20,8,5,None,
75.01,20,9,5,HelpHint,
75.20,21,9,5,None,
79.38,22,9,5,None,
80.01,22,9,5,Final,0
