TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.56,1,0,0,None,
5.50,2,0,0,None,
9.54,3,0,0,None,
10.98,4,0,0,None,
14.98,4,0,1,SpawnMore,
16.17,4,0,2,SpawnMore,
16.17,5,0,2,None,
21.10,5,1,2,HelpHint,
21.10,6,1,2,None,
25.24,7,1,2,None,
25.72,8,1,2,None,
28.16,9,1,2,None,
29.93,10,1,2,None,
29.99,10,1,3,SpawnMore,
30.00,11,1,3,None,
35.34,12,1,3,None,
37.56,13,1,3,None,
40.72,14,1,3,None,
44.99,14,1,4,SpawnMore,
45.00,15,1,4,None,
46.56,15,2,4,HelpHint,
46.56,16,2,4,None,
50.80,17,2,4,None,
51.50,18,2,4,None,
54.99,18,2,4,Final,1
