TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.56,1,0,0,None,
5.99,1,1,0,HelpHint,
5.99,2,1,0,None,
9.48,3,1,0,None,
11.13,3,2,0,HelpHint,
11.13,4,2,0,None,
13.40,5,2,0,None,
14.98,5,2,1,SpawnMore,
16.29,6,2,1,None,
21.88,7,2,1,None,
22.16,8,2,1,None,
27.88,8,2,2,SpawnMore,
27.88,9,2,2,None,
29.99,9,2,3,SpawnMore,
30.32,10,2,3,None,
31.99,11,2,3,None,
37.82,12,2,3,None,
42.07,13,2,3,None,
44.16,14,2,3,None,
44.99,14,2,4,SpawnMore,
47.26,14,3,4,HelpHint,
47.26,14,3,5,SpawnMore,
47.26,15,3,5,None,
52.84,15,3,6,SpawnMore,
52.84,16,3,6,None,
58.10,17,3,6,None,
60.00,17,3,7,SpawnMore,
63.02,17,3,8,SpawnMore,
63.02,18,3,8,None,
69.00,18,3,9,SpawnMore,
69.00,19,3,9,None,
70.36,20,3,9,None,
73.94,20,4,9,HelpHint,
73.94,20,4,10,SpawnMore,
73.94,21,4,10,None,
75.00,21,4,11,SpawnMore,
79.35,21,4,12,SpawnMore,
79.35,22,4,12,None,
84.25,22,4,13,SpawnMore,
84.25,23,4,13,None,
89.47,23,5,13,HelpHint,
89.47,24,5,13,None,
90.01,24,5,14,SpawnMore,
95.01,24,6,14,HelpHint,
95.27,24,6,15,SpawnMore,
95.27,25,6,15,None,
99.99,26,6,15,None,
105.01,26,7,15,HelpHint,
105.65,26,7,16,SpawnMore,
105.65,27,7,16,None,
106.38,28,7,16,None,
110.02,28,7,17,SpawnMore,
110.02,29,7,17,None,
110.31,30,7,17,None,
115.03,30,7,18,SpawnMore,
115.03,31,7,18,None,
119.48,31,8,18,HelpHint,
119.48,31,8,19,SpawnMore,
119.48,32,8,19,None,
123.99,33,8,19,None,
125.02,33,8,20,SpawnMore,
128.66,34,8,20,None,
134.16,35,8,20,None,
138.77,36,8,20,None,
140.03,36,8,21,SpawnMore,
143.99,36,9,21,HelpHint,
143.99,36,9,22,SpawnMore,
143.99,37,9,22,None,
149.20,38,9,22,None,
150.00,39,9,22,None,
153.55,39,10,22,HelpHint,
153.55,40,10,22,None,
155.03,40,10,23,SpawnMore,
157.56,41,10,23,None,
159.20,42,10,23,None,
163.43,42,11,23,HelpHint,
163.43,42,11,24,SpawnMore,
163.43,43,11,24,None,
167.44,44,11,24,None,
169.37,44,12,24,HelpHint,
169.37,45,12,24,None,
170.04,45,12,25,SpawnMore,
174.35,45,13,25,HelpHint,
174.35,46,13,25,None,
177.00,47,13,25,None,
179.26,47,14,25,HelpHint,
179.26,48,14,25,None,
180.18,49,14,25,None,
184.05,50,14,25,None,
184.62,51,14,25,None,
185.04,51,14,26,SpawnMore,
189.05,52,14,26,None,
190.80,53,14,26,None,
193.68,53,15,26,HelpHint,
193.68,54,15,26,None,
195.05,54,15,26,Final,0
