TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.98,0,1,0,HelpHint,
6.00,1,1,0,None,
8.58,2,1,0,None,
11.87,3,1,0,None,
14.98,3,1,1,SpawnMore,
16.27,3,2,1,HelpHint,
16.27,4,2,1,None,
17.40,5,2,1,None,
21.77,6,2,1,None,
25.84,7,2,1,None,
27.40,8,2,1,None,
29.99,8,2,2,SpawnMore,
30.88,9,2,2,None,
33.23,9,3,2,HelpHint,
33.23,9,3,3,SpawnMore,
33.23,10,3,3,None,
37.52,11,3,3,None,
38.82,12,3,3,None,
43.80,12,4,3,HelpHint,
43.80,13,4,3,None,
44.99,13,4,4,SpawnMore,
46.30,14,4,4,None,
49.04,15,4,4,None,
49.99,15,4,4,Final,0
