TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.34,1,0,0,None,
8.58,2,0,0,None,
10.02,3,0,0,None,
14.34,4,0,0,None,
14.99,4,0,1,SpawnMore,
15.02,5,0,1,None,
17.32,6,0,1,None,
19.94,6,0,2,SpawnMore,
19.94,7,0,2,None,
23.98,8,0,2,None,
24.58,9,0,2,None,
27.30,10,0,2,None,
29.99,10,0,3,SpawnMore,
30.00,11,0,3,None,
30.30,11,1,3,HelpHint,
30.30,11,1,4,SpawnMore,
30.30,12,1,4,None,
35.67,13,1,4,None,
39.68,14,1,4,None,
41.23,14,1,5,SpawnMore,
41.23,15,1,5,None,
41.24,16,1,5,None,
44.99,16,1,6,SpawnMore,
46.09,16,2,6,HelpHint,
46.09,16,2,7,SpawnMore,
46.09,17,2,7,None,
50.19,17,3,7,HelpHint,
50.19,18,3,7,None,
54.30,19,3,7,None,
55.61,20,3,7,None,
60.00,20,3,8,SpawnMore,
60.46,20,4,8,HelpHint,
60.46,20,4,9,SpawnMore,
60.46,21,4,9,None,
61.26,22,4,9,None,
66.22,23,4,9,None,
70.74,23,4,10,SpawnMore,
70.74,24,4,10,None,
71.86,25,4,10,None,
75.01,25,4,11,SpawnMore,
76.52,25,5,11,HelpHint,
76.52,26,5,11,None,
81.44,26,6,11,HelpHint,
81.44,26,6,12,SpawnMore,
81.44,27,6,12,None,
84.84,28,6,12,None,
86.07,29,6,12,None,
90.01,29,6,13,SpawnMore,
90.15,29,6,14,SpawnMore,
90.15,30,6,14,None,
90.66,31,6,14,None,
95.56,32,6,14,None,
96.82,33,6,14,None,
100.77,33,7,14,HelpHint,
100.77,34,7,14,None,
102.38,35,7,14,None,
105.02,35,7,14,Final,0
