TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.64,1,0,0,None,
4.65,2,0,0,None,
9.98,2,1,0,HelpHint,
10.28,2,2,0,HelpHint,
10.28,3,2,0,None,
14.99,3,2,1,SpawnMore,
15.22,3,3,1,HelpHint,
15.22,3,3,2,SpawnMore,
15.22,4,3,2,None,
21.12,5,3,2,None,
24.72,6,3,2,None,
26.57,7,3,2,None,
29.99,7,3,3,SpawnMore,
31.02,8,3,3,None,
32.10,8,4,3,HelpHint,
32.10,9,4,3,None,
35.58,10,4,3,None,
38.00,10,5,3,HelpHint,
38.00,11,5,3,None,
40.94,12,5,3,None,
42.72,13,5,3,None,
45.00,13,5,4,SpawnMore,
48.29,14,5,4,None,
52.52,15,5,4,None,
55.98,16,5,4,None,
57.69,17,5,4,None,
60.01,17,5,5,SpawnMore,
61.84,17,6,5,HelpHint,
61.84,18,6,5,None,
63.34,19,6,5,None,
67.56,20,6,5,None,
73.06,20,7,5,HelpHint,
73.06,21,7,5,None,
73.20,22,7,5,None,
75.01,22,7,6,SpawnMore,
78.71,23,7,6,None,
83.65,24,7,6,None,
89.12,25,7,6,None,
89.43,26,7,6,None,
90.01,26,7,6,Final,0
