TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.98,0,1,0,HelpHint,
5.78,1,1,0,None,
5.96,2,1,0,None,
10.17,3,1,0,None,
13.66,4,1,0,None,
14.99,4,1,1,SpawnMore,
15.75,4,2,1,HelpHint,
15.75,5,2,1,None,
20.13,5,3,1,HelpHint,
20.13,6,3,1,None,
21.62,7,3,1,None,
24.15,8,3,1,None,
25.90,9,3,1,None,
29.55,9,3,2,SpawnMore,
29.55,10,3,2,None,
29.99,10,3,3,SpawnMore,
34.99,10,4,3,HelpHint,
35.19,10,5,3,HelpHint,
35.19,11,5,3,None,
39.29,11,6,3,HelpHint,
39.29,12,6,3,None,
44.55,12,7,3,HelpHint,
44.55,13,7,3,None,
45.01,13,7,4,SpawnMore,
45.24,14,7,4,None,
49.87,15,7,4,None,
52.32,16,7,4,None,
53.98,16,8,4,HelpHint,
53.98,16,8,5,SpawnMore,
53.98,17,8,5,None,
58.53,18,8,5,None,
59.62,19,8,5,None,
60.06,19,8,6,SpawnMore,
62.86,19,8,7,SpawnMore,
62.86,20,8,7,None,
68.29,20,9,7,HelpHint,
68.29,21,9,7,None,
72.57,22,9,7,None,
75.08,22,9,8,SpawnMore,
77.21,22,10,8,HelpHint,
77.21,23,10,8,None,
81.67,24,10,8,None,
86.26,24,10,9,SpawnMore,
86.26,25,10,9,None,
88.54,26,10,9,None,
90.10,26,10,10,SpawnMore,
91.97,26,11,10,HelpHint,
91.97,27,11,10,None,
95.98,28,11,10,None,
97.76,28,11,11,SpawnMore,
97.76,29,11,11,None,
103.44,30,11,11,None,
103.63,30,11,12,SpawnMore,
103.63,31,11,12,None,
105.10,31,11,13,SpawnMore,
105.12,32,11,13,None,
108.70,32,12,13,HelpHint,
108.70,32,12,14,SpawnMore,
108.70,33,12,14,None,
112.94,33,13,14,HelpHint,
112.94,33,13,15,SpawnMore,
112.94,34,13,15,None,
114.04,35,13,15,None,
117.82,35,14,15,HelpHint,
117.82,36,14,15,None,
120.10,36,14,16,SpawnMore,
121.99,37,14,16,None,
125.48,38,14,16,None,
127.04,39,14,16,None,
132.46,40,14,16,None,
132.68,41,14,16,None,
135.11,41,14,16,Final,0
