TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.98,0,1,0,HelpHint,
5.36,0,2,0,HelpHint,
5.36,1,2,0,None,
5.78,2,2,0,None,
9.88,3,2,0,None,
13.36,4,2,0,None,
14.73,5,2,0,None,
14.98,5,2,1,SpawnMore,
19.18,6,2,1,None,
19.85,7,2,1,None,
24.39,7,3,1,HelpHint,
24.39,8,3,1,None,
29.42,8,4,1,HelpHint,
29.42,9,4,1,None,
29.99,9,4,2,SpawnMore,
31.84,10,4,2,None,
33.86,11,4,2,None,
34.47,11,5,2,HelpHint,
34.47,12,5,2,None,
39.74,12,6,2,HelpHint,
39.74,13,6,2,None,
42.10,14,6,2,None,
44.68,15,6,2,None,
44.99,15,6,2,Final,0
