TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.56,1,0,0,None,
5.90,1,1,0,HelpHint,
5.90,1,1,1,SpawnMore,
5.90,2,1,1,None,
10.40,3,1,1,None,
11.21,4,1,1,None,
14.98,4,1,2,SpawnMore,
15.59,5,1,2,None,
18.44,6,1,2,None,
21.55,7,1,2,None,
23.78,8,1,2,None,
27.05,8,2,2,HelpHint,
27.05,9,2,2,None,
29.99,9,2,3,SpawnMore,
31.14,10,2,3,None,
31.46,11,2,3,None,
35.42,12,2,3,None,
36.65,12,2,4,SpawnMore,
36.65,13,2,4,None,
41.59,14,2,4,None,
44.99,14,2,5,SpawnMore,
47.23,14,3,5,HelpHint,
47.23,15,3,5,None,
48.96,16,3,5,None,
52.60,16,4,5,HelpHint,
52.60,17,4,5,None,
58.11,18,4,5,None,
60.00,18,4,6,SpawnMore,
60.20,19,4,6,None,
63.72,20,4,6,None,
69.36,21,4,6,None,
69.50,22,4,6,None,
70.00,22,4,6,Final,0
