TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.56,1,0,0,None,
5.38,1,0,1,SpawnMore,
5.38,2,0,1,None,
8.88,3,0,1,None,
9.90,3,0,2,SpawnMore,
9.90,4,0,2,None,
14.99,4,1,2,HelpHint,
15.11,5,1,2,None,
19.99,5,1,3,SpawnMore,
20.91,6,1,3,None,
26.45,7,1,3,None,
28.10,8,1,3,None,
31.61,9,1,3,None,
34.99,9,1,4,SpawnMore,
37.11,10,1,4,None,
41.63,11,1,4,None,
43.84,12,1,4,None,
45.86,13,1,4,None,
47.05,14,1,4,None,
50.00,14,1,5,SpawnMore,
53.01,14,2,5,HelpHint,
53.01,15,2,5,None,
54.40,16,2,5,None,
58.45,17,2,5,None,
63.96,18,2,5,None,
65.00,18,2,6,SpawnMore,
68.47,19,2,6,None,
72.28,20,2,6,None,
72.61,20,2,7,SpawnMore,
72.61,21,2,7,None,
78.18,22,2,7,None,
80.01,22,2,8,SpawnMore,
82.63,23,2,8,None,
88.33,24,2,8,None,
93.64,25,2,8,None,
95.01,25,2,9,SpawnMore,
97.75,25,3,9,HelpHint,
97.75,26,3,9,None,
99.62,27,3,9,None,
102.57,27,3,10,SpawnMore,
102.57,28,3,10,None,
106.66,29,3,10,None,
110.02,29,3,11,SpawnMore,
110.22,30,3,11,None,
111.62,31,3,11,None,
115.60,32,3,11,None,
117.18,33,3,11,None,
122.36,34,3,11,None,
125.02,34,3,12,SpawnMore,
127.28,35,3,12,None,
128.00,35,3,13,SpawnMore,
128.00,36,3,13,None,
128.00,37,3,13,None,
133.64,38,3,13,None,
133.77,39,3,13,None,
135.03,39,3,13,Final,1
