TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
1.00,1,0,0,None,
2.00,2,0,0,None,
3.00,3,0,0,None,
4.01,4,0,0,None,
5.01,5,0,0,None,
6.01,6,0,0,None,
7.02,7,0,0,None,
8.02,8,0,0,None,
8.36,9,0,0,None,
9.02,10,0,0,None,
10.02,11,0,0,None,
11.02,12,0,0,None,
12.03,13,0,0,None,
12.44,14,0,0,None,
13.03,15,0,0,None,
14.03,16,0,0,None,
14.99,16,0,1,SpawnMore,
15.03,17,0,1,None,
16.03,18,0,1,None,
17.03,19,0,1,None,
18.03,20,0,1,None,
18.86,21,0,1,None,
19.03,22,0,1,None,
20.04,23,0,1,None,
21.04,24,0,1,None,
22.04,25,0,1,None,
22.05,26,0,1,None,
23.05,27,0,1,None,
24.05,28,0,1,None,
25.05,29,0,1,None,
26.05,30,0,1,None,
27.06,31,0,1,None,
28.06,32,0,1,None,
29.06,33,0,1,None,
29.38,34,0,1,None,
29.99,34,0,1,Final,1
