TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
1.01,1,0,0,None,
2.01,2,0,0,None,
3.01,3,0,0,None,
4.02,4,0,0,None,
4.64,5,0,0,None,
5.02,6,0,0,None,
6.02,7,0,0,None,
7.02,8,0,0,None,
8.02,9,0,0,None,
9.03,10,0,0,None,
10.03,11,0,0,None,
10.46,12,0,0,None,
11.03,13,0,0,None,
12.03,14,0,0,None,
13.04,15,0,0,None,
14.04,16,0,0,None,
14.14,17,0,0,None,
14.99,17,0,1,SpawnMore,
15.04,18,0,1,None,
16.05,19,0,1,None,
17.05,20,0,1,None,
18.05,21,0,1,None,
19.05,22,0,1,None,
19.46,23,0,1,None,
20.05,24,0,1,None,
21.06,25,0,1,None,
22.06,26,0,1,None,
23.06,27,0,1,None,
23.94,28,0,1,None,
24.07,29,0,1,None,
25.00,29,0,1,Final,1
