TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
3.00,1,0,0,None,
5.70,2,0,0,None,
6.00,3,0,0,None,
9.02,4,0,0,None,
10.62,5,0,0,None,
12.02,6,0,0,None,
14.99,6,0,1,SpawnMore,
15.03,7,0,1,None,
15.48,8,0,1,None,
17.88,9,0,1,None,
18.03,10,0,1,None,
21.04,11,0,1,None,
24.04,12,0,1,None,
27.04,13,0,1,None,
29.99,13,0,2,SpawnMore,
30.04,14,0,2,None,
33.04,15,0,2,None,
36.04,16,0,2,None,
39.05,17,0,2,None,
39.86,18,0,2,None,
42.05,19,0,2,None,
44.06,20,0,2,None,
45.00,20,0,2,Final,1
