TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
5.03,0,1,0,HelpHint,
5.70,1,1,0,None,
6.01,2,1,0,None,
12.02,3,1,0,None,
15.04,3,1,1,SpawnMore,
15.14,4,1,1,None,
18.02,5,1,1,None,
22.72,6,1,1,None,
24.03,7,1,1,None,
27.68,8,1,1,None,
30.04,9,1,1,None,
30.05,9,1,2,SpawnMore,
35.06,9,2,2,HelpHint,
35.90,10,2,2,None,
36.04,11,2,2,None,
42.05,12,2,2,None,
45.06,12,2,3,SpawnMore,
48.05,13,2,3,None,
51.46,14,2,3,None,
54.06,15,2,3,None,
59.86,16,2,3,None,
60.06,16,2,4,SpawnMore,
60.06,17,2,4,None,
65.06,17,2,4,Final,1
