TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.98,0,1,0,HelpHint,
5.70,1,1,0,None,
10.00,2,1,0,None,
14.64,3,1,0,None,
14.99,3,1,1,SpawnMore,
19.99,3,2,1,HelpHint,
20.00,4,2,1,None,
23.46,5,2,1,None,
25.86,6,2,1,None,
29.99,6,2,2,SpawnMore,
30.00,7,2,2,None,
40.00,7,3,2,HelpHint,
40.01,8,3,2,None,
41.00,9,3,2,None,
45.00,9,3,3,SpawnMore,
50.00,9,4,3,HelpHint,
50.01,10,4,3,None,
52.06,11,4,3,None,
60.00,11,5,3,HelpHint,
60.01,12,5,3,None,
65.00,12,5,4,SpawnMore,
68.24,13,5,4,None,
70.01,14,5,4,None,
79.38,15,5,4,None,
80.01,15,5,4,Final,0
