TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.98,0,1,0,HelpHint,
5.78,1,1,0,None,
6.00,2,1,0,None,
12.00,3,1,0,None,
14.24,4,1,0,None,
14.98,4,1,1,SpawnMore,
18.01,5,1,1,None,
21.72,6,1,1,None,
24.01,7,1,1,None,
29.99,7,2,1,HelpHint,
30.01,8,2,1,None,
34.99,8,2,2,SpawnMore,
36.01,9,2,2,None,
40.50,10,2,2,None,
42.01,11,2,2,None,
48.01,12,2,2,None,
50.00,12,2,3,SpawnMore,
50.08,13,2,3,None,
54.02,14,2,3,None,
60.00,14,3,3,HelpHint,
60.02,15,3,3,None,
60.34,16,3,3,None,
65.00,16,3,3,Final,0
