TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.98,0,1,0,HelpHint,
9.98,0,2,0,HelpHint,
10.00,1,2,0,None,
13.24,2,2,0,None,
14.98,2,2,1,SpawnMore,
19.99,2,3,1,HelpHint,
20.00,3,3,1,None,
23.40,4,3,1,None,
29.99,4,4,1,HelpHint,
30.01,5,4,1,None,
33.16,6,4,1,None,
34.99,6,4,2,SpawnMore,
39.99,6,5,2,HelpHint,
40.01,7,5,2,None,
46.46,8,5,2,None,
50.00,8,5,3,SpawnMore,
50.01,9,5,3,None,
58.22,10,5,3,None,
60.01,11,5,3,None,
65.00,11,5,4,SpawnMore,
66.22,12,5,4,None,
70.01,13,5,4,None,
73.70,14,5,4,None,
75.00,14,5,4,Final,0
