TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.68,1,0,0,None,
9.98,1,1,0,HelpHint,
10.00,2,1,0,None,
12.28,3,1,0,None,
14.98,3,1,1,SpawnMore,
19.99,3,2,1,HelpHint,
20.01,4,2,1,None,
29.66,5,2,1,None,
29.99,5,2,2,SpawnMore,
30.01,6,2,2,None,
31.56,7,2,2,None,
39.99,7,3,2,HelpHint,
40.01,8,3,2,None,
44.60,9,3,2,None,
45.00,9,3,3,SpawnMore,
50.00,9,4,3,HelpHint,
50.01,10,4,3,None,
51.94,11,4,3,None,
60.00,11,5,3,HelpHint,
60.02,12,5,3,None,
65.00,12,5,4,SpawnMore,
65.82,13,5,4,None,
70.00,13,5,4,Final,0
