TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.98,0,1,0,HelpHint,
9.98,0,2,0,HelpHint,
10.00,1,2,0,None,
13.24,2,2,0,None,
14.99,2,2,1,SpawnMore,
19.99,2,3,1,HelpHint,
20.00,3,3,1,None,
24.60,4,3,1,None,
29.99,4,4,1,HelpHint,
30.01,5,4,1,None,
33.12,6,4,1,None,
34.99,6,4,2,SpawnMore,
39.99,6,5,2,HelpHint,
40.01,7,5,2,None,
44.72,8,5,2,None,
50.00,8,6,2,HelpHint,
50.01,9,6,2,None,
55.00,9,6,3,SpawnMore,
56.22,10,6,3,None,
60.01,11,6,3,None,
61.98,12,6,3,None,
65.00,12,6,3,Final,0
