TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.98,0,1,0,HelpHint,
9.98,0,2,0,HelpHint,
10.00,1,2,0,None,
13.24,2,2,0,None,
14.99,2,2,1,SpawnMore,
19.99,2,3,1,HelpHint,
20.00,3,3,1,None,
21.56,4,3,1,None,
29.99,4,4,1,HelpHint,
30.00,5,4,1,None,
34.99,5,4,2,SpawnMore,
39.20,6,4,2,None,
40.01,7,4,2,None,
41.70,8,4,2,None,
49.99,8,5,2,HelpHint,
50.01,9,5,2,None,
53.72,10,5,2,None,
54.99,10,5,3,SpawnMore,
59.99,10,6,3,HelpHint,
60.01,11,6,3,None,
63.66,12,6,3,None,
69.99,12,7,3,HelpHint,
70.01,13,7,3,None,
74.99,13,7,4,SpawnMore,
76.46,14,7,4,None,
80.01,15,7,4,None,
90.00,15,8,4,HelpHint,
90.01,16,8,4,None,
92.26,17,8,4,None,
95.00,17,8,4,Final,0
