TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.98,0,1,0,HelpHint,
9.98,0,2,0,HelpHint,
10.00,1,2,0,None,
13.24,2,2,0,None,
14.98,2,2,1,SpawnMore,
19.98,2,3,1,HelpHint,
20.00,3,3,1,None,
29.42,4,3,1,None,
29.99,4,3,2,SpawnMore,
30.00,5,3,2,None,
34.70,6,3,2,None,
39.99,6,4,2,HelpHint,
40.01,7,4,2,None,
43.14,8,4,2,None,
44.99,8,4,3,SpawnMore,
50.00,8,5,3,HelpHint,
50.01,9,5,3,None,
53.14,10,5,3,None,
60.00,10,6,3,HelpHint,
60.01,11,6,3,None,
65.00,11,6,4,SpawnMore,
66.82,12,6,4,None,
70.01,13,6,4,None,
73.68,14,6,4,None,
80.01,14,7,4,HelpHint,
80.02,15,7,4,None,
85.01,15,7,5,SpawnMore,
86.04,16,7,5,None,
90.02,17,7,5,None,
92.06,18,7,5,None,
95.01,18,7,5,Final,0
