TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.98,0,1,0,HelpHint,
5.78,1,1,0,None,
10.00,2,1,0,None,
12.26,3,1,0,None,
14.99,3,1,1,SpawnMore,
19.99,3,2,1,HelpHint,
20.01,4,2,1,None,
23.72,5,2,1,None,
29.99,5,3,1,HelpHint,
30.02,6,3,1,None,
34.99,6,3,2,SpawnMore,
39.92,7,3,2,None,
40.02,8,3,2,None,
50.00,8,4,2,HelpHint,
50.02,9,4,2,None,
51.58,10,4,2,None,
55.00,10,4,3,SpawnMore,
60.00,10,5,3,HelpHint,
60.03,11,5,3,None,
63.20,12,5,3,None,
70.01,12,6,3,HelpHint,
70.04,13,6,3,None,
73.72,14,6,3,None,
75.01,14,6,3,Final,0
