TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.98,0,1,0,HelpHint,
9.98,0,2,0,HelpHint,
10.00,1,2,0,None,
13.24,2,2,0,None,
14.98,2,2,1,SpawnMore,
19.99,2,3,1,HelpHint,
20.00,3,3,1,None,
23.40,4,3,1,None,
29.99,4,4,1,HelpHint,
30.00,5,4,1,None,
34.76,6,4,1,None,
34.99,6,4,2,SpawnMore,
40.00,6,5,2,HelpHint,
40.01,7,5,2,None,
43.68,8,5,2,None,
50.00,8,6,2,HelpHint,
50.01,9,6,2,None,
54.44,10,6,2,None,
55.01,10,6,3,SpawnMore,
60.01,10,7,3,HelpHint,
60.01,11,7,3,None,
66.44,12,7,3,None,
70.01,12,7,3,Final,0
