TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.98,0,1,0,HelpHint,
5.78,1,1,0,None,
10.00,2,1,0,None,
12.24,3,1,0,None,
14.99,3,1,1,SpawnMore,
19.99,3,2,1,HelpHint,
20.01,4,2,1,None,
30.00,4,3,1,HelpHint,
30.01,5,3,1,None,
31.00,6,3,1,None,
35.00,6,3,2,SpawnMore,
40.00,6,4,2,HelpHint,
40.01,7,4,2,None,
41.56,8,4,2,None,
50.00,8,5,2,HelpHint,
50.01,9,5,2,None,
54.60,10,5,2,None,
55.01,10,5,3,SpawnMore,
60.01,10,6,3,HelpHint,
60.01,11,6,3,None,
61.94,12,6,3,None,
70.02,13,6,3,None,
70.02,13,6,4,SpawnMore,
75.02,13,7,4,HelpHint,
78.22,14,7,4,None,
80.02,15,7,4,None,
80.02,15,7,4,Final,0
