TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.98,0,1,0,HelpHint,
9.98,0,2,0,HelpHint,
10.00,1,2,0,None,
13.24,2,2,0,None,
14.98,2,2,1,SpawnMore,
19.99,2,3,1,HelpHint,
20.01,3,3,1,None,
24.60,4,3,1,None,
29.99,4,4,1,HelpHint,
30.01,5,4,1,None,
33.70,6,4,1,None,
35.00,6,4,2,SpawnMore,
40.00,6,5,2,HelpHint,
40.01,7,5,2,None,
44.72,8,5,2,None,
50.00,8,6,2,HelpHint,
50.02,9,6,2,None,
52.26,10,6,2,None,
55.00,10,6,3,SpawnMore,
60.00,10,7,3,HelpHint,
60.02,11,7,3,None,
62.04,12,7,3,None,
70.00,12,8,3,HelpHint,
70.02,13,8,3,None,
75.00,13,8,4,SpawnMore,
78.24,14,8,4,None,
80.02,15,8,4,None,
82.06,16,8,4,None,
85.01,16,8,4,Final,0
