TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.98,0,1,0,HelpHint,
5.70,1,1,0,None,
10.00,2,1,0,None,
14.62,3,1,0,None,
14.98,3,1,1,SpawnMore,
19.98,3,2,1,HelpHint,
20.01,4,2,1,None,
23.46,5,2,1,None,
25.86,6,2,1,None,
29.99,6,2,2,SpawnMore,
30.01,7,2,2,None,
32.02,8,2,2,None,
39.99,8,3,2,HelpHint,
40.01,9,3,2,None,
44.99,9,3,3,SpawnMore,
49.99,9,4,3,HelpHint,
50.01,10,4,3,None,
59.99,10,5,3,HelpHint,
60.01,11,5,3,None,
65.00,11,5,4,SpawnMore,
70.00,11,6,4,HelpHint,
70.01,12,6,4,None,
78.20,13,6,4,None,
80.00,13,6,5,SpawnMore,
80.01,14,6,5,None,
85.84,15,6,5,None,
90.02,16,6,5,None,
95.01,16,6,6,SpawnMore,
98.22,17,6,6,None,
100.02,18,6,6,None,
110.01,18,7,6,HelpHint,
110.02,19,7,6,None,
111.22,20,7,6,None,
115.02,20,7,6,Final,0
