TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.98,0,1,0,HelpHint,
9.98,0,2,0,HelpHint,
10.00,1,2,0,None,
13.24,2,2,0,None,
14.98,2,2,1,SpawnMore,
19.98,2,3,1,HelpHint,
20.01,3,3,1,None,
24.60,4,3,1,None,
29.99,4,4,1,HelpHint,
30.01,5,4,1,None,
33.12,6,4,1,None,
34.99,6,4,2,SpawnMore,
39.99,6,5,2,HelpHint,
40.01,7,5,2,None,
42.28,8,5,2,None,
44.52,9,5,2,None,
49.99,9,6,2,HelpHint,
50.01,10,6,2,None,
54.99,10,6,3,SpawnMore,
58.24,11,6,3,None,
60.01,12,6,3,None,
65.82,13,6,3,None,
70.00,13,6,3,Final,0
