TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.98,0,1,0,HelpHint,
5.70,1,1,0,None,
10.00,2,1,0,None,
13.12,3,1,0,None,
14.98,3,1,1,SpawnMore,
19.99,3,2,1,HelpHint,
20.00,4,2,1,None,
24.42,5,2,1,None,
29.99,5,3,1,HelpHint,
30.00,6,3,1,None,
34.99,6,3,2,SpawnMore,
36.22,7,3,2,None,
40.01,8,3,2,None,
45.86,9,3,2,None,
49.99,9,3,3,SpawnMore,
50.01,10,3,3,None,
58.08,11,3,3,None,
60.01,12,3,3,None,
65.00,12,3,4,SpawnMore,
68.24,13,3,4,None,
70.01,14,3,4,None,
75.82,15,3,4,None,
80.01,15,3,4,Final,0
