TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.98,0,1,0,HelpHint,
5.78,1,1,0,None,
10.00,2,1,0,None,
13.52,3,1,0,None,
14.98,3,1,1,SpawnMore,
19.99,3,2,1,HelpHint,
20.00,4,2,1,None,
24.60,5,2,1,None,
29.99,5,3,1,HelpHint,
30.00,6,3,1,None,
34.44,7,3,1,None,
34.99,7,3,2,SpawnMore,
39.99,7,4,2,HelpHint,
40.00,8,4,2,None,
46.24,9,4,2,None,
49.99,9,4,3,SpawnMore,
50.01,10,4,3,None,
55.82,11,4,3,None,
60.01,12,4,3,None,
65.00,12,4,4,SpawnMore,
66.80,13,4,4,None,
70.01,14,4,4,None,
76.80,15,4,4,None,
80.00,15,4,4,Final,0
