TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.98,0,1,0,HelpHint,
9.98,0,2,0,HelpHint,
10.00,1,2,0,None,
13.24,2,2,0,None,
14.99,2,2,1,SpawnMore,
19.99,2,3,1,HelpHint,
20.00,3,3,1,None,
25.88,4,3,1,None,
28.06,5,3,1,None,
29.99,5,3,2,SpawnMore,
30.01,6,3,2,None,
34.48,7,3,2,None,
40.00,7,4,2,HelpHint,
40.01,8,4,2,None,
43.18,9,4,2,None,
45.00,9,4,3,SpawnMore,
50.00,9,5,3,HelpHint,
50.01,10,5,3,None,
53.14,11,5,3,None,
60.00,11,6,3,HelpHint,
60.01,12,6,3,None,
65.00,12,6,4,SpawnMore,
66.82,13,6,4,None,
70.01,14,6,4,None,
79.12,15,6,4,None,
80.01,15,6,4,Final,0
