TimeSinceStart,TrashPicked,PromptsTriggered,PromptType
4.98,0,1,HelpHint
9.99,0,2,HelpHint
10.00,1,2,None
12.36,2,2,None
14.62,3,2,None
14.99,3,3,SpawnMore
16.86,4,3,None
19.99,4,4,SpawnMore
20.26,5,4,None
25.00,5,5,SpawnMore
25.70,6,5,None
30.00,6,5,End,1
