TimeSinceStart,TrashPicked,PromptsTriggered,PromptType
4.22,1,0,None
4.98,1,1,SpawnMore
8.92,2,1,None
9.98,2,2,SpawnMore
12.10,3,2,None
13.62,4,2,None
14.99,4,3,SpawnMore
19.36,5,3,None
19.99,5,4,SpawnMore
20.00,6,4,None
24.99,6,5,SpawnMore
25.00,7,5,None
29.99,7,6,SpawnMore
34.99,7,7,HelpHint
39.99,7,8,HelpHint
40.78,8,8,None
42.46,9,8,None
45.00,9,9,SpawnMore
