TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
9.98,0,1,0,HelpHint,
12.82,1,1,0,None,
15.20,2,1,0,None,
19.98,2,1,1,SpawnMore,
23.72,3,1,1,None,
28.06,4,1,1,None,
29.98,4,1,2,SpawnMore,
39.98,4,2,2,HelpHint,
43.88,5,2,2,None,
48.52,6,2,2,None,
49.99,6,2,3,SpawnMore,
54.88,7,2,3,None,
59.99,7,2,4,SpawnMore,
69.99,7,3,4,HelpHint,
73.02,8,3,4,None,
75.01,8,3,4,Final,1
