TimeSinceStart,TrashPicked,PromptsTriggered,PromptType
4.52,1,0,None
4.98,1,1,SpawnMore
7.50,2,1,None
9.10,3,1,None
9.98,3,2,SpawnMore
14.98,3,3,HelpHint
19.26,4,3,None
19.99,4,4,SpawnMore
21.64,5,4,None
24.99,5,5,SpawnMore
26.12,6,5,None
29.70,7,5,None
29.99,7,6,SpawnMore
31.52,8,6,None
34.99,8,7,SpawnMore
36.98,9,7,None
39.99,9,8,SpawnMore
40.96,10,8,None
42.78,11,8,None
44.99,11,9,SpawnMore
