TimeSinceStart,TrashPicked,PromptsTriggered,PromptType
4.98,0,1,HelpHint
5.18,1,1,None
9.98,1,2,SpawnMore
10.02,2,2,None
12.78,3,2,None
14.99,3,3,SpawnMore
16.92,4,3,None
19.99,4,4,SpawnMore
20.04,5,4,None
24.99,5,5,SpawnMore
26.72,6,5,None
27.20,7,5,None
29.99,7,6,SpawnMore
