TimeSinceStart,TrashPicked,PromptsTriggered,PromptType
4.98,0,1,HelpHint
9.99,0,2,HelpHint
10.58,1,2,None
16.04,2,2,None
18.76,3,2,None
24.99,3,3,HelpHint
26.00,4,3,None
28.92,5,3,None
