TimeSinceStart,TrashPicked,HelpHints,SpawnMores,PromptType,Label
4.98,0,1,0,HelpHint,
5.78,1,1,0,None,
6.00,2,1,0,None,
12.01,3,1,0,None,
14.24,4,1,0,None,
14.99,4,1,1,SpawnMore,
18.01,5,1,1,None,
24.01,6,1,1,None,
26.52,7,1,1,None,
29.99,7,1,2,SpawnMore,
30.02,8,1,2,None,
34.46,9,1,2,None,
36.02,10,1,2,None,
42.02,11,1,2,None,
42.04,12,1,2,None,
45.00,12,1,3,SpawnMore,
48.02,13,1,3,None,
52.00,14,1,3,None,
54.02,15,1,3,None,
59.70,16,1,3,None,
60.00,16,1,4,SpawnMore,
60.02,17,1,4,None,
65.00,17,1,4,Final,1
